=== 内存监控开始 === 1755223091
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755226365,7306,33816,8032,108,8207,12288,25.74,42.07
=== 内存监控开始 === 1755226419
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755226419,166,5551,366,0,4045,12288,0.00,30.54
1755226420,402,11397,755,8,4209,12288,2.78,31.04
1755226421,725,18403,1149,10,7183,12288,8.78,31.53
1755226421,1120,20100,1544,10,7187,12288,7.94,32.16
1755226422,1658,21251,2124,10,7269,12288,5.65,32.99
1755226422,2086,22083,2613,10,7465,12288,1.84,33.67
1755226423,2521,22870,3111,10,7649,12288,1.78,34.35
1755226423,2981,28660,3600,10,7833,12288,8.92,35.07
1755226424,3313,29160,3934,12,7961,12288,16.90,35.59
1755226424,3574,29859,4279,88,8307,12288,17.84,36.11
1755226425,3910,30145,4616,88,8083,12288,22.70,36.63
1755226426,4272,30623,4977,88,8113,12288,32.17,37.19
1755226426,4634,30961,5340,88,8091,12288,26.02,37.76
=== 内存监控开始 === 1755226567
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755226567,166,5551,367,0,4045,12288,0.00,30.59
1755226568,387,11355,740,8,4207,12288,4.62,31.06
1755226569,669,17684,1093,10,7183,12288,7.17,31.49
1755226569,1052,19930,1477,10,7187,12288,7.68,32.10
1755226570,1630,21206,2086,10,7261,12288,6.15,32.99
1755226570,2053,21942,2577,10,7443,12288,1.90,33.65
1755226571,2477,22774,3057,10,7635,12288,2.18,34.32
1755226571,2900,24906,3520,10,7809,12288,3.67,34.98
1755226572,3228,28952,3851,12,7945,12288,16.25,35.51
1755226573,3533,29706,4233,88,8091,12288,19.00,36.10
1755226573,3911,30337,4618,88,8127,12288,23.88,36.70
1755226574,4263,30655,4970,88,8171,12288,27.24,37.25
1755226574,4537,30978,5245,88,8191,12288,23.68,37.68
1755226575,4767,31363,5474,88,8139,12288,25.02,38.04
1755226575,4832,31587,5539,88,8113,12288,32.87,38.12
1755226576,5161,31849,5868,88,8205,12288,28.71,38.65
1755226576,5296,32001,6004,88,8125,12288,25.79,38.86
1755226577,5473,32175,6181,88,8079,12288,35.52,39.14
1755226577,5657,32293,6365,88,8079,12288,29.65,39.43
1755226578,5658,32293,6367,88,8079,12288,29.11,39.44
1755226579,5664,32293,6372,88,8079,12288,25.92,39.46
1755226579,5677,32293,6385,88,8081,12288,30.31,39.49
1755226580,5679,32293,6388,88,8079,12288,32.15,39.50
1755226580,5679,32293,6388,88,8081,12288,29.08,39.50
1755226581,5717,32293,6425,88,8079,12288,30.20,39.57
1755226581,5717,32293,6426,88,8079,12288,29.90,39.57
1755226582,5717,32293,6426,88,8083,12288,29.64,39.57
1755226583,5642,32165,6352,88,8079,12288,29.21,39.46
1755226583,5570,32037,6280,88,8079,12288,30.43,39.34
1755226584,5570,32037,6280,88,8079,12288,25.55,39.34
1755226584,5533,32037,6248,93,8199,12288,31.48,39.31
1755226585,5611,32101,6328,94,8079,12288,26.11,39.44
1755226585,5553,32037,6288,113,8079,12288,30.25,39.38
1755226586,5429,31909,6164,113,8079,12288,24.77,39.19
1755226586,5430,31909,6164,113,8103,12288,27.39,39.19
1755226587,5374,32005,6119,123,8199,12288,34.35,39.11
