=== 内存监控开始 === 1755157778
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755170015,3362,29868,4147,155,4089,12288,0.39,17.09
1755170016,3362,29868,4147,155,4089,12288,0.43,17.09
1755170017,3362,29868,4147,155,4089,12288,0.31,17.09
1755170018,3362,29868,4147,155,4089,12288,0.28,17.09
1755170019,3362,29868,4147,155,4089,12288,0.28,17.09
1755170020,3362,29868,4147,155,4089,12288,0.42,17.09
1755170022,3362,29868,4147,155,4089,12288,0.40,17.09
1755170023,3362,29868,4147,155,4089,12288,0.34,17.09
1755170024,3362,29868,4147,155,4089,12288,0.22,17.09
1755170025,3362,29868,4147,155,4089,12288,0.22,17.09
1755170026,3362,29868,4147,155,4089,12288,0.42,17.09
1755170027,3362,29868,4147,155,4089,12288,0.38,17.09
1755170028,3362,29868,4147,155,4089,12288,0.22,17.11
1755170029,3362,29868,4147,155,4089,12288,0.27,17.09
1755170030,3362,29868,4147,155,4089,12288,0.32,17.10
1755170031,3362,29868,4147,155,4089,12288,0.30,17.10
1755170032,3362,29868,4147,155,4089,12288,0.38,17.10
1755170033,3362,29868,4147,155,4089,12288,0.30,17.09
1755170034,3362,29868,4147,155,4089,12288,0.28,17.09
1755170035,3362,29868,4147,155,4089,12288,0.39,17.10
1755170036,3362,29868,4147,155,4089,12288,0.34,17.10
1755170037,3362,29868,4147,155,4089,12288,0.31,17.10
1755170038,3362,29868,4147,155,4089,12288,0.25,17.10
1755170039,3362,29868,4147,155,4089,12288,0.27,17.10
1755170040,3362,29868,4147,155,4089,12288,0.48,17.09
1755170042,3362,29868,4147,155,4089,12288,0.39,17.10
1755170043,3362,29868,4147,155,4089,12288,0.30,17.10
1755170044,3362,29868,4147,155,4089,12288,0.28,17.09
1755170045,3362,29868,4147,155,4089,12288,0.24,17.09
1755170046,3362,29868,4147,155,4089,12288,0.33,17.09
1755170047,3362,29868,4147,155,4089,12288,0.42,17.09
1755170048,3362,29868,4147,155,4089,12288,0.29,17.09
1755170049,3362,29868,4147,155,4089,12288,0.22,17.09
1755170050,3362,29868,4147,155,4089,12288,0.46,17.09
1755170051,3362,29868,4147,155,4089,12288,0.27,17.09
1755170052,3362,29868,4147,155,4089,12288,0.36,17.09
1755170053,3362,29868,4147,155,4089,12288,0.34,17.09
1755170054,3362,29868,4147,155,4089,12288,0.25,17.09
1755170055,3362,29868,4147,155,4089,12288,0.32,17.09
1755170056,3362,29868,4147,155,4089,12288,0.44,17.09
1755170057,3362,29868,4147,155,4089,12288,0.31,17.09
1755170058,3362,29868,4147,155,4089,12288,0.31,17.09
1755170059,3362,29868,4147,155,4089,12288,0.22,17.09
1755170061,3362,29868,4147,155,4089,12288,0.36,17.09
1755170062,3362,29868,4147,155,4089,12288,0.42,17.09
1755170063,3362,29868,4147,155,4089,12288,0.27,17.09
1755170064,3362,29868,4147,155,4089,12288,0.25,17.09
1755170065,3362,29868,4147,155,4089,12288,0.32,17.09
1755170066,3362,29868,4147,155,4089,12288,0.39,17.09
1755170067,3362,29868,4147,155,4089,12288,0.37,17.09
1755170068,3362,29868,4147,155,4089,12288,0.31,17.09
1755170069,3362,29868,4147,155,4089,12288,0.22,17.09
1755170070,3362,29868,4147,155,4089,12288,0.36,17.09
1755170071,3362,29868,4147,155,4089,12288,0.36,17.09
1755170072,3362,29868,4147,155,4089,12288,0.36,17.10
1755170073,3362,29868,4147,155,4089,12288,0.30,17.09
1755170074,3362,29868,4147,155,4089,12288,0.30,17.09
1755170075,3362,29868,4147,155,4089,12288,0.34,17.10
1755170076,3362,29868,4147,155,4089,12288,0.39,17.09
1755170077,3362,29868,4147,155,4089,12288,0.40,17.09
1755170078,3362,29868,4147,155,4089,12288,0.28,17.09
1755170079,3362,29868,4147,155,4089,12288,0.22,17.09
1755170081,3362,29868,4147,155,4089,12288,0.40,17.11
1755170082,3362,29868,4147,155,4089,12288,0.38,17.10
1755170083,3362,29868,4147,155,4089,12288,0.28,17.10
1755170084,3362,29868,4147,155,4089,12288,0.27,17.10
1755170085,3362,29868,4147,155,4089,12288,0.24,17.10
1755170086,3362,29868,4147,155,4089,12288,0.37,17.10
1755170087,3362,29868,4147,155,4089,12288,0.36,17.10
1755170088,3362,29868,4147,155,4089,12288,0.28,17.10
1755170089,3362,29868,4147,155,4089,12288,0.28,17.10
1755170090,3362,29868,4147,155,4089,12288,0.39,17.10
1755170091,3362,29868,4147,155,4089,12288,0.25,17.10
1755170092,3362,29868,4147,155,4089,12288,0.45,17.10
1755170093,3362,29868,4147,155,4089,12288,0.29,17.10
1755170094,3362,29868,4147,155,4089,12288,0.24,17.10
1755170095,3362,29868,4147,155,4089,12288,0.42,17.10
1755170096,3362,29868,4147,155,4089,12288,0.40,17.10
1755170097,3362,29868,4147,155,4089,12288,0.22,17.10
1755170098,3362,29868,4147,155,4089,12288,0.27,17.11
1755170099,3362,29868,4147,155,4089,12288,0.23,17.10
1755170101,3362,29868,4147,155,4089,12288,0.36,17.09
1755170102,3362,29868,4147,155,4089,12288,0.43,17.09
1755170103,3362,29868,4147,155,4089,12288,0.28,17.09
1755170104,3362,29868,4147,155,4089,12288,0.27,17.09
1755170105,3362,29868,4147,155,4089,12288,0.30,17.09
1755170106,3362,29868,4147,155,4089,12288,0.38,17.09
1755170107,3362,29868,4147,155,4089,12288,0.45,17.09
1755170108,3362,29868,4147,155,4089,12288,0.31,17.10
1755170109,3362,29868,4147,155,4089,12288,0.31,17.09
1755170110,3362,29868,4147,155,4089,12288,0.43,17.09
1755170111,3362,29868,4147,155,4089,12288,0.34,17.09
1755170112,3362,29868,4147,155,4089,12288,0.34,17.09
1755170113,3362,29868,4147,155,4089,12288,0.30,17.10
1755170114,3362,29868,4147,155,4089,12288,0.22,17.09
1755170115,3362,29868,4147,155,4089,12288,0.31,17.09
1755170116,3362,29868,4147,155,4089,12288,0.42,17.09
1755170117,3362,29868,4147,155,4089,12288,0.31,17.09
1755170118,3362,29868,4147,155,4089,12288,0.27,17.09
1755170119,3362,29868,4147,155,4089,12288,0.28,17.09
1755170120,3362,29868,4147,155,4089,12288,0.37,17.09
1755170122,3362,29868,4147,155,4089,12288,0.42,17.09
1755170123,3362,29868,4147,155,4089,12288,0.31,17.09
1755170124,3362,29868,4147,155,4089,12288,0.27,17.09
1755170125,3362,29868,4147,155,4089,12288,0.21,17.09
1755170126,3362,29868,4147,155,4089,12288,0.46,17.09
1755170127,3362,29868,4147,155,4089,12288,0.39,17.09
1755170128,3362,29868,4147,155,4089,12288,0.31,17.09
1755170129,3362,29868,4147,155,4089,12288,0.31,17.09
1755170130,3362,29868,4147,155,4089,12288,0.37,17.09
1755170131,3362,29868,4147,155,4089,12288,0.28,17.09
1755170132,3362,29868,4147,155,4089,12288,0.39,17.09
1755170133,3362,29868,4147,155,4089,12288,0.19,17.09
1755170134,3362,29868,4147,155,4089,12288,0.30,17.09
1755170135,3362,29868,4147,155,4089,12288,0.39,17.09
1755170136,3362,29868,4147,155,4089,12288,0.31,17.10
1755170137,3362,29868,4147,155,4089,12288,0.38,17.10
1755170138,3362,29868,4147,155,4089,12288,0.28,17.10
1755170139,3362,29868,4147,155,4089,12288,0.24,17.09
1755170140,3362,29868,4147,155,4089,12288,0.42,17.10
1755170142,3362,29868,4147,155,4089,12288,0.40,17.10
1755170143,3362,29868,4147,155,4089,12288,0.27,17.10
1755170144,3362,29868,4147,155,4089,12288,0.33,17.10
1755170145,3362,29868,4147,155,4089,12288,0.28,17.10
1755170146,3362,29868,4147,155,4089,12288,0.33,17.10
1755170147,3362,29868,4147,155,4089,12288,0.46,17.10
1755170148,3362,29868,4147,155,4089,12288,0.27,17.09
1755170149,3362,29868,4147,155,4089,12288,0.25,17.09
1755170150,3362,29868,4147,155,4089,12288,0.36,17.09
1755170151,3362,29868,4147,155,4089,12288,0.34,17.10
1755170152,3362,29868,4147,155,4089,12288,0.40,17.11
1755170153,3362,29868,4147,155,4089,12288,0.32,17.09
1755170154,3362,29868,4147,155,4089,12288,0.21,17.09
1755170155,3362,29868,4147,155,4089,12288,0.32,17.10
1755170156,3362,29868,4147,155,4089,12288,0.39,17.10
1755170157,3362,29868,4147,155,4089,12288,0.34,17.09
1755170158,3362,29868,4147,155,4089,12288,0.27,17.09
1755170159,3362,29868,4147,155,4089,12288,0.27,17.09
1755170160,3362,29868,4147,155,4089,12288,0.39,17.09
1755170161,3362,29868,4147,155,4089,12288,0.48,17.10
1755170163,3362,29868,4147,155,4089,12288,0.28,17.09
1755170164,3362,29868,4147,155,4089,12288,0.30,17.09
1755170165,3362,29868,4147,155,4089,12288,0.28,17.09
1755170166,3362,29868,4147,155,4089,12288,0.40,17.10
1755170167,3362,29868,4147,155,4089,12288,0.42,17.09
1755170168,3362,29868,4147,155,4089,12288,0.22,17.10
1755170169,3362,29868,4147,155,4089,12288,0.22,17.10
1755170170,3362,29868,4147,155,4089,12288,0.31,17.10
1755170171,3362,29868,4147,155,4089,12288,0.43,17.09
1755170172,3362,29868,4147,155,4089,12288,0.36,17.09
1755170173,3362,29868,4147,155,4089,12288,0.30,17.09
1755170174,3362,29868,4147,155,4089,12288,0.31,17.10
1755170175,3362,29868,4147,155,4089,12288,0.33,17.09
1755170176,3362,29868,4147,155,4089,12288,0.28,17.09
1755170177,3362,29868,4147,155,4089,12288,0.41,17.09
1755170178,3362,29868,4147,155,4089,12288,0.30,17.09
1755170179,3362,29868,4147,155,4089,12288,0.28,17.09
1755170180,3362,29868,4147,155,4089,12288,0.40,17.09
1755170181,3362,29868,4147,155,4089,12288,0.46,17.09
1755170183,3362,29868,4147,155,4089,12288,0.28,17.09
1755170184,3362,29868,4147,155,4089,12288,0.31,17.09
1755170185,3362,29868,4147,155,4089,12288,0.27,17.09
1755170186,3362,29868,4147,155,4089,12288,0.42,17.09
1755170187,3362,29868,4147,155,4089,12288,0.40,17.09
1755170188,3362,29868,4147,155,4089,12288,0.25,17.09
1755170189,3362,29868,4147,155,4089,12288,0.26,17.09
1755170190,3362,29868,4147,155,4089,12288,0.37,17.09
1755170191,3362,29868,4147,155,4089,12288,0.28,17.09
1755170192,3362,29868,4147,155,4089,12288,0.42,17.09
1755170193,3362,29868,4147,155,4089,12288,0.28,17.09
1755170194,3362,29868,4147,155,4089,12288,0.28,17.09
1755170195,3362,29868,4147,155,4089,12288,0.45,17.10
1755170196,3362,29868,4147,155,4089,12288,0.42,17.10
1755170197,3362,29868,4147,155,4089,12288,0.42,17.09
1755170198,3362,29868,4147,155,4089,12288,0.34,17.10
1755170199,3362,29868,4147,155,4089,12288,0.30,17.09
1755170200,3362,29868,4147,155,4089,12288,0.36,17.09
1755170201,3362,29868,4147,155,4089,12288,0.46,17.10
1755170203,3362,29868,4147,155,4089,12288,0.28,17.09
1755170204,3362,29868,4147,155,4089,12288,0.28,17.09
1755170205,3362,29868,4147,155,4089,12288,0.27,17.09
1755170206,3362,29868,4147,155,4089,12288,0.36,17.09
1755170207,3362,29868,4147,155,4089,12288,0.40,17.09
1755170208,3362,29868,4147,155,4089,12288,0.32,17.09
1755170209,3362,29868,4147,155,4089,12288,0.22,17.09
1755170210,3362,29868,4147,155,4089,12288,0.28,17.09
1755170211,3362,29868,4147,155,4089,12288,0.34,17.09
1755170212,3362,29868,4147,155,4089,12288,0.43,17.09
1755170213,3362,29868,4147,155,4089,12288,0.28,17.09
1755170214,3362,29868,4147,155,4089,12288,0.24,17.09
1755170215,3362,29868,4147,155,4089,12288,0.39,17.09
1755170216,3362,29868,4147,155,4089,12288,0.31,17.09
1755170217,3362,29868,4147,155,4089,12288,0.37,17.09
1755170218,3362,29868,4147,155,4089,12288,0.32,17.09
1755170219,3362,29868,4147,155,4089,12288,0.28,17.09
1755170220,3362,29868,4147,155,4089,12288,0.42,17.09
1755170221,3362,29868,4147,155,4089,12288,0.45,17.10
1755170223,3362,29868,4147,155,4089,12288,0.39,17.10
1755170224,3362,29868,4147,155,4089,12288,0.27,17.10
1755170225,3362,29868,4147,155,4089,12288,0.22,17.10
1755170226,3362,29868,4147,155,4089,12288,0.44,17.09
1755170227,3362,29868,4147,155,4089,12288,0.37,17.10
1755170228,3362,29868,4147,155,4089,12288,0.28,17.10
1755170229,3362,29868,4147,155,4089,12288,0.28,17.10
1755170230,3362,29868,4147,155,4089,12288,0.37,17.10
1755170231,3362,29868,4147,155,4089,12288,0.37,17.09
1755170232,3362,29868,4147,155,4089,12288,0.43,17.09
1755170233,3362,29868,4147,155,4089,12288,0.28,17.10
1755170234,3362,29868,4147,155,4089,12288,0.27,17.10
1755170235,3362,29868,4147,155,4089,12288,0.39,17.09
1755170236,3362,29868,4147,155,4089,12288,0.40,17.09
1755170237,3362,29868,4147,155,4089,12288,0.36,17.09
1755170238,3362,29868,4147,155,4089,12288,0.28,17.09
1755170239,3362,29868,4147,155,4089,12288,0.24,17.09
1755170241,3362,29868,4147,155,4089,12288,0.34,17.09
1755170242,3362,29868,4147,155,4089,12288,0.35,17.09
1755170243,3362,29868,4147,155,4089,12288,0.27,17.09
1755170244,3362,29868,4147,155,4089,12288,0.28,17.09
1755170245,3362,29868,4147,155,4089,12288,0.27,17.09
1755170246,3362,29868,4147,155,4089,12288,0.36,17.09
1755170247,3362,29868,4147,155,4089,12288,0.45,17.10
1755170248,3362,29868,4147,155,4089,12288,0.31,17.10
1755170249,3362,29868,4147,155,4089,12288,0.25,17.10
1755170250,3362,29868,4147,155,4089,12288,0.43,17.10
1755170251,3362,29868,4147,155,4089,12288,0.30,17.10
1755170252,3362,29868,4147,155,4089,12288,0.37,17.10
1755170253,3362,29868,4147,155,4089,12288,0.34,17.09
1755170254,3362,29868,4147,155,4089,12288,0.24,17.09
1755170255,3362,29868,4147,155,4089,12288,0.37,17.09
1755170256,3362,29868,4147,155,4089,12288,0.45,17.10
1755170257,3362,29868,4147,155,4089,12288,0.33,17.09
1755170258,3362,29868,4147,155,4089,12288,0.27,17.09
1755170259,3362,29868,4147,155,4089,12288,0.28,17.09
1755170260,3362,29868,4147,155,4089,12288,0.34,17.09
1755170262,3362,29868,4147,155,4089,12288,0.43,17.09
1755170263,3362,29868,4147,155,4089,12288,0.27,17.10
1755170264,3362,29868,4147,155,4089,12288,0.27,17.09
1755170265,3362,29868,4147,155,4089,12288,0.33,17.09
1755170266,3362,29868,4147,155,4089,12288,0.34,17.09
1755170267,3362,29868,4147,155,4089,12288,0.40,17.10
1755170268,3362,29868,4147,155,4089,12288,0.40,17.10
1755170269,3362,29868,4147,155,4089,12288,0.34,17.10
1755170270,3362,29868,4147,155,4089,12288,0.37,17.09
1755170271,3362,29868,4147,155,4089,12288,0.33,17.09
1755170272,3362,29868,4147,155,4089,12288,0.40,17.10
1755170273,3362,29868,4147,155,4089,12288,0.33,17.09
1755170274,3362,29868,4147,155,4089,12288,0.30,17.09
1755170275,3362,29868,4147,155,4089,12288,0.30,17.10
1755170276,3362,29868,4147,155,4089,12288,0.30,17.09
1755170277,3362,29868,4147,155,4089,12288,0.44,17.10
1755170278,3362,29868,4147,155,4089,12288,0.27,17.10
1755170279,3362,29868,4147,155,4089,12288,0.28,17.10
1755170280,3362,29868,4147,155,4089,12288,0.43,17.10
1755170282,3362,29868,4147,155,4089,12288,0.39,17.09
1755170283,3362,29868,4147,155,4089,12288,0.30,17.09
1755170284,3362,29868,4147,155,4089,12288,0.28,17.10
1755170285,3362,29868,4147,155,4089,12288,0.27,17.09
1755170286,3362,29868,4147,155,4089,12288,0.39,17.10
1755170287,3362,29868,4147,155,4089,12288,0.46,17.10
1755170288,3362,29868,4147,155,4089,12288,0.30,17.10
1755170289,3362,29868,4147,155,4089,12288,0.30,17.09
1755170290,3362,29868,4147,155,4089,12288,0.34,17.09
1755170291,3362,29868,4147,155,4089,12288,0.31,17.09
1755170292,3362,29868,4147,155,4089,12288,0.46,17.10
1755170293,3362,29868,4147,155,4089,12288,0.27,17.10
1755170294,3362,29868,4147,155,4089,12288,0.28,17.10
1755170295,3362,29868,4147,155,4089,12288,0.43,17.09
1755170296,3362,29868,4147,155,4089,12288,0.37,17.10
1755170297,3362,29868,4147,155,4089,12288,0.31,17.10
1755170298,3362,29868,4147,155,4089,12288,0.31,17.10
1755170299,3362,29868,4147,155,4089,12288,0.25,17.10
1755170300,3362,29868,4147,155,4089,12288,0.30,17.11
1755170302,3362,29868,4147,155,4089,12288,0.44,17.10
1755170303,3362,29868,4147,155,4089,12288,0.28,17.10
1755170304,3362,29868,4147,155,4089,12288,0.27,17.10
1755170305,3362,29868,4147,155,4089,12288,0.33,17.10
1755170306,3362,29868,4147,155,4089,12288,0.39,17.10
1755170307,3362,29868,4147,155,4089,12288,0.43,17.10
1755170308,3362,29868,4147,155,4089,12288,0.37,17.10
1755170309,3362,29868,4147,155,4089,12288,0.25,17.10
1755170310,3362,29868,4147,155,4089,12288,0.43,17.10
1755170311,3362,29868,4147,155,4089,12288,0.31,17.10
1755170312,3362,29868,4147,155,4089,12288,0.39,17.10
1755170313,3362,29868,4147,155,4089,12288,0.30,17.10
1755170314,3362,29868,4147,155,4089,12288,0.24,17.10
1755170315,3362,29868,4147,155,4089,12288,0.45,17.10
1755170316,3362,29868,4147,155,4089,12288,0.45,17.10
1755170317,3362,29868,4147,155,4089,12288,0.37,17.10
1755170318,3362,29868,4147,155,4089,12288,0.42,17.10
1755170319,3362,29868,4147,155,4089,12288,0.40,17.10
1755170320,3362,29868,4147,155,4089,12288,0.47,17.10
1755170322,3362,29868,4147,155,4089,12288,0.51,17.10
1755170323,3362,29868,4147,155,4089,12288,0.40,17.10
1755170324,3362,29868,4147,155,4089,12288,0.28,17.10
1755170325,3362,29868,4147,155,4089,12288,0.30,17.10
1755170326,3362,29868,4147,155,4089,12288,0.39,17.10
1755170327,3362,29868,4147,155,4089,12288,0.34,17.11
1755170328,3362,29868,4147,155,4089,12288,0.31,17.11
1755170329,3362,29868,4147,155,4089,12288,0.30,17.11
1755170330,3362,29868,4147,155,4089,12288,0.35,17.11
1755170331,3362,29868,4147,155,4089,12288,0.31,17.11
1755170332,3362,29868,4147,155,4089,12288,0.46,17.11
1755170333,3362,29868,4147,155,4089,12288,0.28,17.11
1755170334,3362,29868,4147,155,4089,12288,0.28,17.11
1755170335,3362,29868,4147,155,4089,12288,0.39,17.11
1755170336,3362,29868,4147,155,4089,12288,0.40,17.11
1755170337,3362,29868,4147,155,4089,12288,0.42,17.11
1755170338,3362,29868,4147,155,4089,12288,0.30,17.11
1755170339,3362,29868,4147,155,4089,12288,0.27,17.11
1755170340,3362,29868,4147,155,4089,12288,0.43,17.11
1755170342,3362,29868,4147,155,4089,12288,0.45,17.11
1755170343,3362,29868,4147,155,4089,12288,0.33,17.11
1755170344,3362,29868,4147,155,4089,12288,0.33,17.11
1755170345,3362,29868,4147,155,4089,12288,0.30,17.11
1755170346,3362,29868,4147,155,4089,12288,0.27,17.11
1755170347,3362,29868,4147,155,4089,12288,0.48,17.11
1755170348,3362,29868,4147,155,4089,12288,0.25,17.11
1755170349,3362,29868,4147,155,4089,12288,0.24,17.11
1755170350,3362,29868,4147,155,4089,12288,0.40,17.11
1755170351,3362,29868,4147,155,4089,12288,0.40,17.11
1755170352,3362,29868,4147,155,4089,12288,0.43,17.11
1755170353,3362,29868,4147,155,4089,12288,0.34,17.11
1755170354,3362,29868,4147,155,4089,12288,0.27,17.11
1755170355,3362,29868,4147,155,4089,12288,0.40,17.11
1755170356,3362,29868,4147,155,4089,12288,0.33,17.11
1755170357,3362,29868,4147,155,4089,12288,0.34,17.11
1755170358,3362,29868,4147,155,4089,12288,0.29,17.11
1755170359,3362,29868,4147,155,4089,12288,0.28,17.11
1755170360,3362,29868,4147,155,4089,12288,0.39,17.11
1755170361,3362,29868,4147,155,4089,12288,0.46,17.11
1755170363,3362,29868,4147,155,4089,12288,0.34,17.10
1755170364,3362,29868,4147,155,4089,12288,0.21,17.12
1755170365,3362,29868,4147,155,4089,12288,0.33,17.10
1755170366,3362,29868,4147,155,4089,12288,0.36,17.10
1755170367,3362,29868,4147,155,4089,12288,0.39,17.10
1755170368,3362,29868,4147,155,4089,12288,0.34,17.10
1755170369,3362,29868,4147,155,4089,12288,0.30,17.10
1755170370,3362,29868,4147,155,4089,12288,0.25,17.10
1755170371,3362,29868,4147,155,4089,12288,0.40,17.10
1755170372,3362,29868,4147,155,4089,12288,0.42,17.10
1755170373,3362,29868,4147,155,4089,12288,0.25,17.10
1755170374,3362,29868,4147,155,4089,12288,0.31,17.10
1755170375,3362,29868,4147,155,4089,12288,0.36,17.10
1755170376,3362,29868,4147,155,4089,12288,0.30,17.11
1755170377,3362,29868,4147,155,4089,12288,0.36,17.10
1755170378,3362,29868,4147,155,4089,12288,0.25,17.10
1755170379,3362,29868,4147,155,4089,12288,0.19,17.10
1755170380,3362,29868,4147,155,4089,12288,0.40,17.10
1755170382,3362,29868,4147,155,4089,12288,0.40,17.10
1755170383,3362,29868,4147,155,4089,12288,0.30,17.10
1755170384,3362,29868,4147,155,4089,12288,0.30,17.10
1755170385,3362,29868,4147,155,4089,12288,0.25,17.10
1755170386,3362,29868,4147,155,4089,12288,0.37,17.10
1755170387,3362,29868,4147,155,4089,12288,0.44,17.10
1755170388,3362,29868,4147,155,4089,12288,0.26,17.10
1755170389,3362,29868,4147,155,4089,12288,0.30,17.10
1755170390,3362,29868,4147,155,4089,12288,0.34,17.10
1755170391,3362,29868,4147,155,4089,12288,0.31,17.10
1755170392,3362,29868,4147,155,4089,12288,0.42,17.11
1755170393,3362,29868,4147,155,4089,12288,0.27,17.11
1755170394,3362,29868,4147,155,4089,12288,0.24,17.11
1755170395,3362,29868,4147,155,4089,12288,0.31,17.11
1755170396,3362,29868,4147,155,4089,12288,0.32,17.11
1755170397,3362,29868,4147,155,4089,12288,0.28,17.11
1755170398,3362,29868,4147,155,4089,12288,0.33,17.11
1755170399,3362,29868,4147,155,4089,12288,0.28,17.11
1755170400,3362,29868,4147,155,4089,12288,0.42,17.11
1755170402,3362,29868,4147,155,4089,12288,0.42,17.11
1755170403,3362,29868,4147,155,4089,12288,0.31,17.11
1755170404,3362,29868,4147,155,4089,12288,0.24,17.11
1755170405,3362,29868,4147,155,4089,12288,0.34,17.11
1755170406,3362,29868,4147,155,4089,12288,0.39,17.11
1755170407,3362,29868,4147,155,4089,12288,0.39,17.10
1755170408,3362,29868,4147,155,4089,12288,0.28,17.11
1755170409,3362,29868,4147,155,4089,12288,0.25,17.10
1755170410,3362,29868,4147,155,4089,12288,0.31,17.10
1755170411,3362,29868,4147,155,4089,12288,0.43,17.11
1755170412,3362,29868,4147,155,4089,12288,0.36,17.10
1755170413,3362,29868,4147,155,4089,12288,0.36,17.10
1755170414,3362,29868,4147,155,4089,12288,0.25,17.10
1755170415,3362,29868,4147,155,4089,12288,0.34,17.10
1755170416,3362,29868,4147,155,4089,12288,0.34,17.11
1755170417,3362,29868,4147,155,4089,12288,0.38,17.11
1755170418,3362,29868,4147,155,4089,12288,0.25,17.11
1755170419,3362,29868,4147,155,4089,12288,0.31,17.11
1755170420,3362,29868,4147,155,4089,12288,0.36,17.11
1755170421,3362,29868,4147,155,4089,12288,0.39,17.11
1755170423,3362,29868,4147,155,4089,12288,0.33,17.11
1755170424,3362,29868,4147,155,4089,12288,0.21,17.11
1755170425,3362,29868,4147,155,4089,12288,0.19,17.11
1755170426,3362,29868,4147,155,4089,12288,0.41,17.11
1755170427,3362,29868,4147,155,4089,12288,0.40,17.11
1755170428,3362,29868,4147,155,4089,12288,0.28,17.11
1755170429,3362,29868,4147,155,4089,12288,0.33,17.11
1755170430,3362,29868,4147,155,4089,12288,0.37,17.11
1755170431,3362,29868,4147,155,4089,12288,0.34,17.11
1755170432,3362,29868,4147,155,4089,12288,0.40,17.11
1755170433,3362,29868,4147,155,4089,12288,0.25,17.11
1755170434,3362,29868,4147,155,4089,12288,0.25,17.11
1755170435,3362,29868,4147,155,4089,12288,0.44,17.10
1755170436,3362,29868,4147,155,4089,12288,0.28,17.10
1755170437,3362,29868,4147,155,4089,12288,0.40,17.11
1755170438,3362,29868,4147,155,4089,12288,0.27,17.11
1755170439,3362,29868,4147,155,4089,12288,0.25,17.10
1755170440,3362,29868,4147,155,4089,12288,0.36,17.12
1755170442,3362,29868,4147,155,4089,12288,0.37,17.12
1755170443,3362,29868,4147,155,4089,12288,0.29,17.10
1755170444,3362,29868,4147,155,4089,12288,0.26,17.10
1755170445,3362,29868,4147,155,4089,12288,0.23,17.10
1755170446,3362,29868,4147,155,4089,12288,0.31,17.10
1755170447,3362,29868,4147,155,4089,12288,0.46,17.10
1755170448,3362,29868,4147,155,4089,12288,0.30,17.10
1755170449,3362,29868,4147,155,4089,12288,0.30,17.10
1755170450,3362,29868,4147,155,4089,12288,0.42,17.10
1755170451,3362,29868,4147,155,4089,12288,0.49,17.10
1755170452,3362,29868,4147,155,4089,12288,0.37,17.10
1755170453,3362,29868,4147,155,4089,12288,0.31,17.10
1755170454,3362,29868,4147,155,4089,12288,0.24,17.10
1755170455,3362,29868,4147,155,4089,12288,0.39,17.10
1755170456,3362,29868,4147,155,4089,12288,0.40,17.10
1755170457,3362,29868,4147,155,4089,12288,0.27,17.10
1755170458,3362,29868,4147,155,4089,12288,0.27,17.10
1755170459,3362,29868,4147,155,4089,12288,0.24,17.10
1755170460,3362,29868,4147,155,4089,12288,0.38,17.10
1755170462,3362,29868,4147,155,4089,12288,0.43,17.10
1755170463,3362,29868,4147,155,4089,12288,0.27,17.10
1755170464,3362,29868,4147,155,4089,12288,0.27,17.10
1755170465,3362,29868,4147,155,4089,12288,0.34,17.10
1755170466,3362,29868,4147,155,4089,12288,0.39,17.10
1755170467,3362,29868,4147,155,4089,12288,0.37,17.10
1755170468,3362,29868,4147,155,4089,12288,0.33,17.10
1755170469,3362,29868,4147,155,4089,12288,0.25,17.10
1755170470,3362,29868,4147,155,4089,12288,0.38,17.10
1755170471,3362,29868,4147,155,4089,12288,0.37,17.10
1755170472,3362,29868,4147,155,4089,12288,0.39,17.10
1755170473,3362,29868,4147,155,4089,12288,0.30,17.10
1755170474,3362,29868,4147,155,4089,12288,0.27,17.10
1755170475,3362,29868,4147,155,4089,12288,0.32,17.11
1755170476,3362,29868,4147,155,4089,12288,0.35,17.10
1755170477,3362,29868,4147,155,4089,12288,0.30,17.10
1755170478,3362,29868,4147,155,4089,12288,0.28,17.10
1755170479,3362,29868,4147,155,4089,12288,0.25,17.10
1755170481,3362,29868,4147,155,4089,12288,0.45,17.10
1755170482,3362,29868,4147,155,4089,12288,0.39,17.10
1755170483,3362,29868,4147,155,4089,12288,0.27,17.10
1755170484,3362,29868,4147,155,4089,12288,0.30,17.10
1755170485,3362,29868,4147,155,4089,12288,0.30,17.10
1755170486,3362,29868,4147,155,4089,12288,0.34,17.10
1755170487,3362,29868,4147,155,4089,12288,0.45,17.10
1755170488,3362,29868,4147,155,4089,12288,0.31,17.10
1755170489,3362,29868,4147,155,4089,12288,0.27,17.10
1755170490,3362,29868,4147,155,4089,12288,0.34,17.10
1755170491,3362,29868,4147,155,4089,12288,0.28,17.10
1755170492,3362,29868,4147,155,4089,12288,0.43,17.10
1755170493,3362,29868,4147,155,4089,12288,0.27,17.10
1755170494,3362,29868,4147,155,4089,12288,0.27,17.10
1755170495,3362,29868,4147,155,4089,12288,0.37,17.10
1755170496,3362,29868,4147,155,4089,12288,0.34,17.10
1755170497,3362,29868,4147,155,4089,12288,0.32,17.10
1755170498,3362,29868,4147,155,4089,12288,0.34,17.10
1755170499,3362,29868,4147,155,4089,12288,0.25,17.10
1755170500,3362,29868,4147,155,4089,12288,0.37,17.09
1755170502,3362,29868,4147,155,4089,12288,0.45,17.10
