=== 内存监控开始 === 1755157778
时间戳,进程内存(MB),虚拟内存(MB),驻留内存(MB),共享内存(MB),GPU已用(MB),GPU总量(MB),CPU使用率(%),内存使用率(%)
1755158039,489,15417,911,10,3149,12288,0.00,10.88
1755158040,866,19814,1289,10,3149,12288,0.78,11.48
1755158041,947,20032,1370,10,3153,12288,6.67,11.61
1755158042,1774,21796,2297,10,3419,12288,3.37,12.91
1755158043,2598,28359,3216,10,3703,12288,2.25,14.20
1755158044,2724,29289,3412,70,3955,12288,2.48,14.50
1755158045,2754,29353,3442,70,3955,12288,0.00,14.55
1755158046,2699,29401,3398,82,4013,12288,2.63,14.50
1755158047,2777,29529,3476,82,4103,12288,55.22,14.65
1755158048,2773,29465,3473,82,4013,12288,1.15,14.61
1755158049,2791,29593,3491,82,4013,12288,0.00,14.62
1755158050,2776,29529,3476,82,4013,12288,1.64,14.61
1755158051,2799,29657,3501,84,4023,12288,2.38,14.66
1755158053,2781,29598,3483,84,4023,12288,0.00,14.62
1755158054,2866,29758,3570,87,4035,12288,2.80,14.76
1755158055,2858,29711,3563,87,4035,12288,3.16,14.76
1755158056,2929,29839,3633,87,4035,12288,50.00,14.86
1755158057,2914,29775,3619,87,4035,12288,1.47,14.84
1755158058,2932,29839,3637,87,4039,12288,47.27,14.88
1755158059,2865,29726,3569,87,4035,12288,1.23,14.78
1755158060,2907,29811,3611,87,4035,12288,50.98,14.83
1755158061,2835,29753,3540,87,4035,12288,2.36,14.74
1755158062,2854,29817,3558,87,4039,12288,59.21,14.77
1755158063,2835,29753,3540,87,4035,12288,0.86,14.73
1755158064,2891,29753,3596,87,4035,12288,2.00,14.84
1755158065,2891,29753,3596,87,4035,12288,3.33,14.82
1755158066,2841,29702,3545,87,4035,12288,0.00,14.75
1755158067,2841,29702,3545,87,4035,12288,1.37,14.75
1755158068,2888,29751,3593,87,4035,12288,1.64,14.83
1755158069,2905,29751,3610,87,4035,12288,2.76,14.87
1755158070,2944,29751,3649,87,4035,12288,2.19,14.94
1755158071,2955,29815,3660,87,4035,12288,3.85,14.94
1755158072,2918,29723,3622,87,4035,12288,1.73,14.90
1755158073,2940,29787,3644,87,4035,12288,3.92,14.91
1755158074,2947,29753,3652,87,4035,12288,0.00,14.92
1755158075,2958,29817,3663,87,4099,12288,2.27,14.96
1755158076,2886,29690,3591,87,4035,12288,0.00,14.83
1755158077,2928,29778,3633,87,4131,12288,0.00,14.90
